Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-05-06,3026,2885,"45,367.02","57,799.20","1,545.00",826.00,green
2022-05-07,2589,2507,"37,490.41","47,126.32","1,256.00",752.00,green
2022-05-08,2333,2141,"32,477.13","40,916.18","1,164.00",648.00,green
2022-05-09,2858,2409,"34,941.62","44,726.33","1,336.00",810.00,green
2022-05-10,2,2,15.00,17.10,0.00,2.00,green
2022-05-10,2949,2518,"38,018.10","48,110.35","1,417.00",815.00,green
2022-05-11,2964,2594,"38,341.25","48,824.28","1,498.00",844.00,green
2022-05-12,3236,2854,"43,008.85","54,807.07","1,655.00",875.00,green
2022-05-13,3141,2852,"45,493.90","57,374.34","1,588.00",851.00,green
2022-05-14,2608,2573,"41,872.32","52,143.30","1,326.00",761.00,green
2022-05-15,2347,2225,"37,117.58","46,820.88","1,198.00",617.00,green
2022-05-16,3012,2584,"37,553.94","48,207.59","1,432.00",845.00,green
2022-05-17,2921,2639,"42,423.96","53,859.61","1,500.00",786.00,green
2022-05-17,1,1,8.50,9.80,0.00,1.00,green
2022-05-18,3042,2715,"44,240.49","55,950.69","1,456.00",871.00,green
2022-05-19,3117,2780,"44,621.92","56,407.39","1,629.00",770.00,green
2022-05-20,3132,2760,"45,261.80","56,928.64","1,532.00",834.00,green
2022-05-21,2704,2673,"44,906.53","56,244.21","1,350.00",747.00,green
2022-05-22,2210,2081,"34,372.47","43,454.73","1,115.00",565.00,green
2022-05-23,2683,2435,"37,646.99","47,627.14","1,403.00",697.00,green
2022-05-24,2781,2451,"36,429.94","46,518.94","1,410.00",755.00,green
2022-05-25,2971,2595,"39,913.98","50,803.69","1,496.00",814.00,green
2022-05-26,3097,2770,"40,632.72","51,766.58","1,508.00",937.00,green
2022-05-27,2862,2545,"39,430.08","49,624.21","1,377.00",813.00,green
2022-05-28,2284,2089,"33,331.95","41,478.13","1,085.00",716.00,green
2022-05-29,2128,1956,"32,313.38","40,279.38",979.00,671.00,green
2022-05-30,2065,1833,"28,973.75","37,170.84","1,111.00",494.00,green
2022-05-31,2767,2475,"38,819.32","49,170.08","1,373.00",804.00,green
2022-06-01,3079,2648,"40,829.78","51,760.44","1,489.00",840.00,green
2022-06-02,2921,2620,"41,181.43","51,996.10","1,453.00",817.00,green
2022-06-03,2815,2487,"39,627.60","49,872.43","1,368.00",788.00,green
2022-06-04,2273,2037,"31,205.03","38,978.15","1,114.00",659.00,green
2022-06-05,2166,2019,"30,743.31","38,972.01","1,108.00",611.00,green
2022-06-06,2725,2376,"34,571.59","44,256.10","1,338.00",773.00,green
2022-06-07,2784,2483,"36,861.58","47,086.24","1,452.00",749.00,green
2022-06-08,2978,2677,"39,903.48","50,441.39","1,508.00",825.00,green
2022-06-09,3052,2778,"43,009.05","54,532.13","1,589.00",850.00,green
2022-06-10,3145,2836,"45,873.75","57,494.20","1,573.00",888.00,green
2022-06-11,2639,2441,"40,230.77","49,937.52","1,343.00",722.00,green
2022-06-12,2284,2049,"34,252.48","42,618.10","1,159.00",588.00,green
2022-06-13,2927,2499,"37,328.65","47,513.10","1,459.00",772.00,green
2022-06-14,2851,2539,"39,386.58","49,902.74","1,435.00",773.00,green
2022-06-15,3179,2771,"43,465.52","55,106.76","1,563.00",864.00,green
2022-06-16,3027,2776,"45,012.84","56,783.39","1,547.00",834.00,green
2022-06-17,3050,2755,"46,036.70","57,600.45","1,488.00",840.00,green
2022-06-18,2541,2282,"36,897.74","45,800.10","1,201.00",741.00,green
2022-06-19,2260,2044,"34,280.28","42,641.54","1,087.00",614.00,green
2022-06-20,2280,2089,"32,286.50","41,675.66","1,173.00",613.00,green
2022-06-21,2883,2517,"37,988.35","48,079.46","1,415.00",776.00,green
2022-06-22,3042,2613,"39,863.61","50,960.57","1,533.00",753.00,green
2022-06-23,3069,2750,"42,024.34","53,670.57","1,570.00",856.00,green
2022-06-24,3100,2683,"42,914.04","54,391.57","1,518.00",846.00,green
2022-06-25,2487,2299,"37,086.96","46,086.72","1,232.00",719.00,green
2022-06-26,2325,2073,"34,281.11","42,633.32","1,206.00",580.00,green
2022-06-27,2716,2394,"36,268.45","46,200.19","1,329.00",734.00,green
2022-06-28,2661,2337,"37,434.49","47,535.59","1,345.00",729.00,green
2022-06-29,2804,2441,"37,733.00","47,961.18","1,384.00",790.00,green
2022-06-30,2646,2396,"36,583.43","46,476.46","1,356.00",751.00,green
2022-07-01,2683,2364,"36,921.18","46,076.99","1,260.00",836.00,green
2022-07-01,4,4,76.00,100.95,3.00,1.00,green
2022-07-02,2092,1871,"29,311.77","35,960.91",988.00,700.00,green
2022-07-03,1781,1541,"25,800.68","31,994.57",845.00,497.00,green
2022-07-04,1709,1533,"24,517.29","31,186.46",907.00,409.00,green
2022-07-05,2310,2095,"30,449.19","38,729.53","1,195.00",682.00,green
2022-07-06,2568,2219,"32,328.17","40,856.10","1,246.00",755.00,green
2022-07-07,2445,2220,"33,998.88","42,725.81","1,237.00",771.00,green
2022-07-08,2310,2044,"33,078.93","41,431.70","1,164.00",649.00,green
2022-07-09,1622,1548,"25,439.95","31,367.40",798.00,519.00,green
2022-07-10,1723,1576,"25,521.92","31,948.27",875.00,498.00,green
2022-07-11,2471,2163,"32,013.39","40,543.25","1,283.00",717.00,green
2022-07-11,2,2,36.00,37.60,0.00,2.00,green
2022-07-12,2432,2121,"32,686.69","41,592.44","1,271.00",646.00,green
2022-07-13,2623,2265,"34,182.33","43,690.68","1,332.00",720.00,green
2022-07-14,2618,2314,"35,022.74","44,561.53","1,403.00",688.00,green
2022-07-15,2869,2419,"36,527.14","46,121.48","1,356.00",829.00,green
2022-07-16,2264,2043,"35,335.73","43,666.20","1,104.00",657.00,green
2022-07-17,1836,1668,"27,500.78","34,353.58",978.00,477.00,green
2022-07-18,2,2,17.00,18.60,0.00,2.00,green
2022-07-18,2338,2097,"32,012.39","40,617.78","1,220.00",650.00,green
2022-07-19,2,2,25.00,26.60,0.00,2.00,green
2022-07-19,2635,2263,"33,883.22","43,096.23","1,327.00",711.00,green
2022-07-20,2724,2330,"35,667.45","45,004.65","1,337.00",725.00,green
2022-07-21,2563,2316,"36,472.03","46,434.68","1,387.00",649.00,green
2022-07-22,2709,2323,"36,423.24","46,026.87","1,339.00",769.00,green
2022-07-23,2169,2008,"31,910.18","39,631.97","1,082.00",632.00,green
2022-07-23,1,1,5.00,5.80,0.00,1.00,green
2022-07-24,2043,1775,"29,161.12","36,407.15","1,061.00",511.00,green
2022-07-25,1,1,7.50,8.30,0.00,1.00,green
2022-07-25,2459,2154,"32,234.61","41,290.51","1,252.00",660.00,green
2022-07-26,2,2,19.50,24.56,1.00,1.00,green
2022-07-26,2465,2193,"34,244.35","43,286.22","1,291.00",688.00,green
2022-07-27,2706,2347,"36,201.40","45,895.52","1,340.00",752.00,green
2022-07-27,1,1,5.00,5.80,0.00,1.00,green
2022-07-28,2724,2348,"36,078.19","45,726.93","1,380.00",714.00,green
2022-07-29,2594,2245,"35,705.02","45,068.23","1,274.00",725.00,green
2022-07-30,2326,2055,"32,920.27","41,083.97","1,151.00",661.00,green
2022-07-31,1927,1730,"27,481.27","34,336.75",989.00,535.00,green
2022-07-31,1,1,20.50,24.55,0.00,1.00,green
2022-08-01,2,2,13.00,17.55,1.00,1.00,green
2022-08-01,2555,2210,"32,674.36","41,296.83","1,264.00",711.00,green
2022-08-02,1,1,24.00,27.55,0.00,1.00,green
2022-08-02,2416,2129,"31,890.60","40,706.79","1,239.00",705.00,green
2022-08-03,1,1,21.00,21.80,0.00,1.00,green
2022-08-03,2498,2126,"32,680.32","41,323.95","1,246.00",667.00,green
2022-08-04,2698,2284,"36,278.32","45,708.67","1,361.00",735.00,green
2022-08-05,2812,2351,"37,306.71","46,984.66","1,322.00",777.00,green
2022-08-06,2014,1847,"31,323.66","38,763.48","1,009.00",606.00,green
2022-08-07,1933,1715,"27,907.16","35,111.93","1,056.00",471.00,green
2022-08-08,2508,2192,"33,342.09","42,151.29","1,301.00",697.00,green
2022-08-09,2556,2184,"33,412.10","42,240.91","1,338.00",632.00,green
2022-08-10,2602,2251,"34,129.13","43,568.23","1,336.00",701.00,green
2022-08-10,2,2,15.50,18.10,0.00,2.00,green
2022-08-11,2779,2446,"37,049.15","46,857.58","1,488.00",725.00,green
2022-08-12,2647,2307,"36,296.76","45,683.13","1,292.00",770.00,green
2022-08-13,2108,1951,"32,004.84","39,343.43","1,022.00",709.00,green
2022-08-14,1998,1785,"29,561.68","36,872.35","1,021.00",564.00,green
2022-08-15,2306,2054,"32,666.47","40,910.47","1,170.00",711.00,green
2022-08-16,2532,2101,"30,802.34","39,137.26","1,215.00",720.00,green
2022-08-16,1,1,28.50,46.92,1.00,0.00,green
2022-08-17,2412,2180,"31,965.19","40,800.45","1,295.00",691.00,green
2022-08-18,2660,2232,"36,284.37","45,372.44","1,329.00",728.00,green
2022-08-19,2641,2231,"35,120.70","43,970.68","1,282.00",723.00,green
2022-08-20,2200,2048,"33,390.38","41,173.35","1,115.00",659.00,green
2022-08-21,2032,1770,"31,021.51","38,114.32","1,091.00",518.00,green
2022-08-22,2442,2126,"31,138.24","39,877.07","1,306.00",651.00,green
2022-08-23,2564,2186,"33,209.01","42,184.52","1,282.00",712.00,green
2022-08-24,2635,2254,"35,502.96","44,449.30","1,312.00",746.00,green
2022-08-25,2590,2250,"34,862.78","43,780.29","1,292.00",747.00,green
2022-08-26,2626,2216,"34,509.85","43,482.71","1,288.00",732.00,green
2022-08-27,2259,1975,"34,130.94","41,680.49","1,093.00",656.00,green
2022-08-28,1986,1700,"31,147.85","38,308.96",990.00,527.00,green
2022-08-29,2556,2181,"35,528.48","44,483.52","1,313.00",690.00,green
2022-08-30,2832,2356,"40,975.76","51,140.40","1,439.00",737.00,green
2022-08-30,2,2,14.00,16.10,0.00,2.00,green
2022-08-31,4,2,150.00,187.55,2.00,0.00,green
2022-08-31,2719,2277,"38,929.34","48,961.46","1,382.00",707.00,green
2022-09-01,2939,2386,"41,841.83","52,412.18","1,393.00",774.00,green
2022-09-01,1,1,281.50,283.30,0.00,1.00,green
2022-09-02,2866,2338,"41,460.92","51,737.32","1,284.00",828.00,green
